Position	Mean_RoHo	Standard_deviation_RoHo
1059	1.24772547236851	3.57328350347088
1820	0.149573310230679	0.234435522976512
1912	0.187050006320371	0.4361051449434
3037	58.0591638215897	102.941552634044
9438	2.59691652624691	5.95757171935662
9474	0.238412561419902	0.57203920264711
10323	0.40642232309406	0.719074880549759
11083	3.60085539291508	14.4483089801867
13402	0.340687341857043	0.3557825636812
15324	2.83863240871395	4.52061003455777
16887	0.686921855808546	1.43165651249663
18877	0.925853823196997	2.222201663495
19484	0.653191896628168	1.13019416729016
20268	4.96013090797601	13.9146490831112
21137	0.842889473479748	2.13467419341855
21575	0.203959423643298	0.377513059718791
21724	0.375240261756149	0.565598366912521
23403	288.652821465276	485.506766478469
24034	11.9314035983497	37.2692156804424
24933	1.17859049815213	1.55873413202258
25563	2.41625960931237	5.29362954844545
26681	0.179365211381463	0.249935776786162
26735	4.58844683392892	9.28027934750911
27384	0.431854852787475	0.907249169716372
27964	1.36790442394927	2.83092115565364
28077	0.438064618997559	0.623361430993217
28826	0.1564071084465	0.297435469779873
28851	0.236569005832022	0.610698916166835
28854	2.98532063240618	8.45554475413262
29095	0.672017888117865	1.31846607701341
29742	9.96768826150998	17.9152128156998
